date,coffeeCost,oilCost,cpi,coffeeD,oilD
2009-01-01,1.1657,41.68,211.143,1.5392387689859481,55.036005740185566
2009-02-01,1.1408315789473684,44.76,212.193,1.4989473068088213,58.8105051533274
2009-03-01,1.1169090909090909,49.66,212.709,1.4639553961686453,65.09036909580695
2009-04-01,1.1593619047619046,51.12,213.24,1.5158151274218183,66.83717051209905
2009-05-01,1.29715,66.31,213.856,1.6910819163362265,86.44770602648512
2009-06-01,1.2600636363636364,69.89,215.693,1.6287420636991212,90.33891586653253
2009-07-01,1.1981363636363638,69.45,215.351,1.5511551581118523,89.91274198866039
2009-08-01,1.2816190476190477,69.96,215.834,1.6555220850944974,90.37032126541693
2009-09-01,1.2898571428571428,70.61,215.969,1.6651220829973616,91.15293963485502
2009-10-01,1.3702045454545455,77.0,216.177,1.7671434411700515,99.30637394357402
2009-11-01,1.37236,77.28,216.33,1.7686715329357927,99.5969979198447
2009-12-01,1.4266818181818182,79.36,215.949,1.8419244556479875,102.45811149854826
2010-01-01,1.401578947368421,72.89,216.687,1.8033523639360485,93.78448074872973
2010-02-01,1.318642105263158,79.66,216.741,1.6962183261661568,102.46961728514678
2010-03-01,1.3361739130434782,83.76,217.631,1.7117412469011668,107.3029831228088
2010-04-01,1.332128571428571,86.15,218.009,1.7035998971208919,110.17339788724321
2010-05-01,1.345025,73.97,218.178,1.71876018686577,94.52366388911805
2010-06-01,1.5071863636363636,75.63,217.965,1.927862604338061,96.73936301699814
2010-07-01,1.6480476190476192,78.95,218.011,2.107595361177713,100.96471233102918
2010-08-01,1.73395,71.92,218.312,2.21439374793873,91.84763018065888
2010-09-01,1.870595238095238,79.97,218.439,2.387511815982625,102.06875118454123
2010-10-01,1.8866428571428573,81.43,218.711,2.4049992997935306,103.8029493715451
2010-11-01,2.0469904761904765,84.11,218.803,2.608305364838952,107.17419879983365
2010-12-01,2.208681818181818,91.38,219.179,2.809506879184262,116.2379915959102
2011-01-01,2.3595526315789472,92.19,220.223,2.9871902244065045,116.71240687848227
2011-02-01,2.589278947368421,96.97,221.309,3.261937603460368,122.16145723852172
2011-03-01,2.722195652173913,106.72,223.467,3.3962669755149135,133.14605485373679
2011-04-01,2.817885,113.93,224.906,3.4931570245791574,141.23194516820362
2011-05-01,2.749833333333333,102.7,225.964,3.392837058115452,126.71472181409429
2011-06-01,2.580136363636364,95.42,225.722,3.1868722519495023,117.85863513525487
2011-07-01,2.5252,95.7,225.922,3.116256099007622,118.09983711192359
2011-08-01,2.5637086956521737,88.81,226.545,3.155077851046006,109.29574971859897
2011-09-01,2.5907142857142857,79.2,226.889,3.183478812484141,97.32123813847299
2011-10-01,2.327952380952381,93.19,226.421,2.866508758967966,114.74888981145743
2011-11-01,2.3093761904761902,100.36,226.23,2.8460358955803513,123.68195517835832
2011-12-01,2.248761904761905,98.83,225.672,2.7781883289527665,122.09756487291291
2012-01-01,2.23245,98.48,226.655,2.746074540160156,121.13750395976265
2012-02-01,2.088835,107.07,227.663,2.5580413842829093,131.12069216341698
2012-03-01,1.864386363636364,103.02,229.392,2.2659667597586037,125.21004237288136
2012-04-01,1.7883,104.87,230.085,2.1669453315079212,127.07462781146099
2012-05-01,1.7425454545454544,86.53,229.815,2.113983673033448,104.97459721950266
2012-06-01,1.5683666666666665,84.96,229.478,1.905471388978464,103.22130191129433
2012-07-01,1.8060714285714288,88.06,229.104,2.1978504366077045,107.16226744186048
2012-08-01,1.6576260869565218,96.47,230.379,2.0060399094346804,116.74687771020797
2012-09-01,1.7202368421052632,92.19,231.407,2.0725625069796143,111.07164597440874
2012-10-01,1.647391304347826,86.24,231.317,1.985569544974138,103.94343900361841
2012-11-01,1.485142857142857,88.91,230.221,1.798536184175826,107.6716972821767
2012-12-01,1.470475,91.82,229.601,1.7855818178056715,111.49602850161801
2013-01-01,1.5002857142857142,97.49,230.28,1.8164089704459168,118.03199140177175
2013-02-01,1.415057894736842,92.05,232.166,1.6993055450342471,110.54040686405416
2013-03-01,1.390225,97.23,232.773,1.6651308805144929,116.45645525898624
2013-04-01,1.3719863636363636,93.46,232.531,1.6449959022863423,112.05746726242951
2013-05-01,1.3652727272727274,91.97,232.945,1.6340370770314494,110.074995986177
2013-06-01,1.234615,96.56,233.504,1.4741209196844596,115.29190557763467
2013-07-01,1.2299545454545455,105.03,233.596,1.4679779926960146,125.35563134642719
2013-08-01,1.1798954545454543,107.65,233.877,1.4065393883031756,128.3282892289537
2013-09-01,1.1698,102.33,234.149,1.3928847853289998,121.84467437400971
2013-10-01,1.127913043478261,96.38,233.546,1.3464774063688787,115.05629195105034
2013-11-01,1.05658,92.72,233.069,1.2639030379844598,110.91359829063498
2013-12-01,1.1217857142857144,98.42,233.049,1.3420186343399274,117.74216083312952
2014-01-01,1.1762380952380953,97.49,233.916,1.4019457131131325,116.19729723490485
2014-02-01,1.5423631578947368,102.59,234.781,1.8315533759008116,121.8254338298244
2014-03-01,1.889857142857143,101.58,236.293,2.229841557485229,119.85419441117597
2014-04-01,1.972823809523809,99.74,237.072,2.320085137607381,117.29648157521765
2014-05-01,1.8855454545454544,102.71,237.9,2.209726119454316,120.36886683480454
2014-06-01,1.7180142857142855,105.37,238.343,2.0096491983641824,123.25667940740868
2014-07-01,1.7259318181818182,98.17,238.25,2.0196988154154343,114.87929628541448
2014-08-01,1.8808285714285715,95.96,237.852,2.2046430863370023,112.48103829271984
